no,word,meaning
1257,acquaintance,知人
1258,offspring,子孫，子
1259,famine,飢饉
1260,deforestation,森林伐採
1261,jail,刑務所，拘置所
1262,commodity,商品
1263,format,書式，形式
1264,recipient,受け取る人
1265,drill,訓練
1266,inability,無能，無力
1267,republic,共和国
1268,combat,戦闘
1269,debris,残骸，瓦礫
1270,bug,病原菌
1271,fraction,わずか，一部
1272,index,指標
1273,intuition,直観，直感
1274,motive,動機
1275,consent,同意，承諾
1276,hierarchy,階層制
1277,monument,記念碑，遺跡
1278,asset,資産
1279,decent,まずまずの
1280,competent,有能な
1281,straightforward,単純な
1282,cosmetic,化粧の，美容の
1283,delicate,繊細な
1284,interior,室内の
1285,transparent,透明な
1286,aesthetic,美的な
1287,deliberate,故意の
1288,demographic,人口統計学の
1289,prehistoric,有史以前の
1290,innate,生まれながらの
1291,mild,穏やかな
1292,toxic,有毒な
1293,ashamed,恥じて
1294,humble,謙虚な
1295,peculiar,特有の
1296,steep,急な
1297,trivial,ささいな，取るに足りない
1298,magnificent,壮大な
1299,wireless,無線の，ラジオの
1300,ongoing,継続している，進行中の
1301,assure,に自信を持って言う
1302,precede,に先行する
1303,revive,を復活させる
1304,compel,に強いる
1305,blossom,花が咲く
1306,terrify,を怖がらせる
1307,violate,に違反する
1308,suppress,を抑える
1309,deceive,をだます
1310,manipulate,を操る
1311,starve,飢える
1312,flee,逃げる
1313,whisper,ささやく
1314,yell,叫ぶ，どなる
1315,deposit,を置く
1316,confine,を限定する
1317,swing,を揺らす，振る
1318,prolong,を長引かせる
1319,depict,を描く
1320,outline,の要点を述べる
1321,shed,を捨て去る
1322,emit,を出す，排出する
1323,renew,を更新する
1324,utilize,を利用する
1325,assert,を主張する
1326,strain,に負担をかける
1327,strive,努力する
1328,dare,あえて…する
1329,boast,を誇る
1330,startle,をびっくりさせる
1331,offend,の気分を害する
1332,compute,計算する
1333,assemble,を集める
1334,worsen,を悪化させる
1335,flip,を裏返す
1336,rub,こする
1337,descend,降りる
1338,compensate,補償する
1339,comprise,から成る
1340,prevail,普及している
1341,quest,探究
1342,dignity,尊厳
1343,criterion,基準
1344,paradox,逆説
1345,parliament,議会
1346,legislation,法律
1347,agenda,協議事項
1348,mainstream,主流
1349,troop,軍隊
1350,epidemic,流行
1351,outbreak,発生，勃発
1352,chaos,混沌，大混乱
1353,nightmare,悪夢
1354,horror,恐怖
1355,cluster,集団
1356,pollen,花粉
1357,hive,ミツバチの巣
1358,irrigation,灌漑
1359,dose,服用量
1360,suicide,自殺
1361,feast,祝宴
1362,cuisine,料理，料理法
1363,rumor,うわさ
1364,proverb,ことわざ
1365,signature,署名
1366,formula,方法，解決策
1367,tuition,授業料
1368,intake,摂取量
1369,spectrum,スペクトル
1370,kidney,腎臓
1371,gear,用具，器具
1372,aisle,通路
1373,grief,深い悲しみ
1374,destiny,運命
1375,skull,頭骨，頭蓋骨
1376,tomb,墓
1377,monk,修道士，僧
1378,worship,崇拝，礼拝
1379,outstanding,際立った
1380,unprecedented,前例のない
1381,infinite,無限の
1382,worthwhile,価値がある
1383,indispensable,不可欠な
1384,compulsory,義務的な，強制的な
1385,probable,十分にありそうな
1386,ambiguous,あいまいな
1387,obscure,知られていない
1388,skeptical,懐疑的な
1389,fragile,壊れやすい
1390,static,静的な
1391,gradual,徐々の，緩やかな
1392,vocal,声の，発声の
1393,vivid,鮮やかな
1394,imperial,帝国の
1395,hostile,敵意のある
1396,superficial,表面的な
1397,scarce,乏しい
1398,gross,総計の
1399,inherent,生来の，本来的に備わっている
1400,notable,注目に値する
1401,update,を最新のものにする
1402,refresh,をさわやかにする
1403,bloom,花が咲く
1404,conquer,を征服する
1405,induce,を引き起こす
1406,attain,を獲得する，達成する
1407,spray,を吹きかける，に吹きつける
1408,retrieve,を検索する
1409,portray,を描く
1410,scratch,を引っかく
1411,designate,を指定する
1412,contradict,と矛盾する
1413,sigh,ため息をつく
1414,disrupt,を混乱させる
1415,depart,出発する
1416,navigate,誘導する
1417,beg,に切に頼む
1418,inhabit,に住んでいる
1419,diagnose,診断する
1420,comprehend,を理解する
1421,oblige,に義務づける
1422,cram,に詰め込む
1423,flock,群がる，集まる
1424,underestimate,過小評価する
1425,clarify,を明確にする
1426,spark,を引き起こす
1427,seize,をつかむ
1428,soar,急上昇する
1429,glow,光り輝く
1430,disguise,を変装させる
1431,distort,を歪める
1432,undermine,を徐々にむしばむ
1433,abolish,を廃止する
1434,strip,を取り去る
1435,dispose,を処分する
1436,dump,を投棄する
1437,weave,を織る
1438,refine,を洗練する
1439,enrich,を豊かにする
1440,coordinate,を調整する
1441,headline,見出し
1442,internship,実務研修
1443,outlet,直売店，特売店
1444,remedy,治療
1445,pill,錠剤，丸薬
1446,reception,反応
1447,transaction,取引
1448,mutation,突然変異
1449,dairy,乳製品
1450,compassion,同情
1451,posture,姿勢
1452,curse,悪態，ののしりの言葉
1453,funeral,葬式
1454,census,国勢調査
1455,encyclopedia,百科事典
1456,cereal,穀物
1457,fragment,断片
1458,patch,部分，斑点
1459,rubbish,ごみ
1460,maze,迷路
1461,outlook,見解
1462,breakthrough,大発見，飛躍的進歩
1463,triumph,勝利
1464,ally,同盟国
1465,spectator,観客
1466,sphere,領域
1467,county,郡
1468,behalf,利益，味方
1469,interval,間隔
1470,circulation,循環
1471,blade,刃
1472,theft,窃盗
1473,vacuum,真空
1474,collision,衝突
1475,bargain,買い得品
1476,landmark,目印
1477,revenue,歳入
1478,treaty,条約
1479,supreme,最高の
1480,thorough,徹底的な
1481,naked,裸の
1482,sincere,心からの
1483,tame,飼いならされた，人に慣れた
1484,insufficient,不十分な
1485,dim,薄暗い
1486,acute,激しい
1487,disabled,障害のある
1488,metropolitan,大都市の，首都圏の
1489,monetary,金銭的な
1490,alternate,代わりの
1491,partial,部分的な
1492,divine,神の
1493,drastic,徹底的な，抜本的な
1494,fierce,猛烈な
1495,sole,唯一の
1496,spontaneous,自然発生的な
1497,spatial,空間の
1498,neat,きちんとした
1499,tidy,きちんとした，整頓された
1500,loyal,忠実な
1501,bless,に恩恵を与える
1502,regain,を取り戻す
1503,conform,順応する
1504,enroll,登録する，入会する
1505,entitle,に権利を与える
1506,halt,を止める
1507,provoke,を引き起こす
1508,invade,を侵略する
1509,squeeze,押し入る
1510,crawl,はう
1511,digest,を消化する
1512,utter,を発する
1513,refrain,控える
1514,populate,に住む，の住民である
1515,accommodate,を収容する
1516,steer,操縦する
1517,drown,溺死する
1518,dip,を浸す
1519,soak,を浸す
1520,stir,をかき回す
1521,transplant,を移植する
1522,reassure,を安心させる
1523,resume,再開する
1524,speculate,推測する
1525,surpass,を上回る
1526,appoint,を任命する
1527,intrigue,に興味を持たせる
1528,decay,腐敗する
1529,contaminate,を汚染する
1530,swell,膨張する，腫れる
1531,delete,を削除する，消す
1532,tolerate,を許容する，我慢する
1533,envy,をうらやむ
1534,pray,祈る
1535,confess,告白する
1536,resign,辞任する
1537,dissolve,溶かす
1538,unfold,を開く
1539,awaken,を目覚めさせる
1540,conceive,思いつく
1541,entrepreneur,起業家，事業家
1542,stake,利害関係
1543,surplus,余剰，過剰
1544,inflation,インフレ
1545,sweatshop,搾取工場
1546,clash,衝突
1547,sociology,社会学
1548,ideology,イデオロギー，思想傾向
1549,margin,余白
1550,realm,領域
1551,domain,分野
1552,algorithm,アルゴリズム
1553,prairie,大草原
1554,frontier,最先端
1555,bullet,銃弾
1556,shield,盾，防御物
1557,despair,絶望
1558,radiation,放射能，放射線
1559,placebo,偽薬，プラシーボ
1560,nursery,託児所
1561,spouse,配偶者
1562,makeup,化粧
1563,mummy,ミイラ
1564,flesh,肉
1565,limb,手足
1566,odor,におい
1567,laundry,洗濯
1568,tide,潮
1569,questionnaire,アンケート
1570,nonsense,ばかげた物
1571,revenge,復讐
1572,intellect,知性
1573,hospitality,親切なもてなし，歓待
1574,librarian,司書，図書館員
1575,manuscript,原稿
1576,obsession,取りつかれること
1577,hygiene,衛生
1578,paradigm,理論的枠組み，パラダイム
1579,legitimate,合法的な
1580,authentic,本物の
1581,empirical,経験的な
1582,immense,膨大な
1583,absurd,ばかげた
1584,weird,異様な，奇妙な
1585,accidental,偶然の
1586,uneasy,不安な
1587,jealous,嫉妬深い
1588,feminine,女らしい
1589,swift,素早い
1590,hollow,空洞の
1591,crude,大まかな
1592,sore,痛い
1593,pessimistic,悲観的な
1594,vain,無駄な
1595,susceptible,影響を受けやすい
1596,edible,食用の，食べられる
1597,sheer,純然たる，真の
1598,explicit,明白な
1599,prone,なりやすい
1600,affluent,裕福な
1601,collaborate,共同して働く
1602,exert,を及ぼす
1603,excel,秀でている
1604,prosper,栄える，成功する
1605,surge,殺到する
1606,intervene,介入する
1607,insert,を挿入する
1608,overtake,を追い抜く
1609,snap,をパチンと鳴らす
1610,carve,を彫る
1611,addict,中毒になる
1612,condemn,を非難する
1613,convict,に有罪を宣告する
1614,dictate,を指図する
1615,prescribe,を処方する
1616,inhibit,を抑制する
1617,stray,はぐれる，迷う
1618,roam,歩き回る
1619,enclose,を同封する
1620,execute,を実行する
1621,coincide,同時に起こる
1622,lag,遅れる
1623,cling,しがみつく
1624,erase,を消す
1625,grind,をひく
1626,knit,を編む
1627,inquire,尋ねる
1628,betray,をうっかり表す
1629,leak,漏れる
1630,smash,を粉砕する
1631,bounce,跳ねる
1632,sprawl,不規則に広がる
1633,converse,会話をする
1634,recite,を暗唱する
1635,disregard,を無視する
1636,frown,眉をひそめる
1637,evoke,を呼び起こす
1638,pledge,を誓う，約束する
1639,aspire,熱望する
1640,contemplate,熟考する
1641,grace,優美，優雅
1642,enlightenment,啓蒙，啓発
1643,commerce,商業
1644,draft,下書き
1645,barrel,バレル
1646,timber,木材
1647,garment,衣服
1648,thread,糸
1649,cabinet,内閣
1650,bureau,局
1651,autonomy,自律
1652,toll,損害
1653,discourse,話し合い，会話
1654,superstition,迷信
1655,glimpse,ちらりと見えること
1656,arithmetic,計算
1657,glossary,用語小辞典
1658,archive,記録文書，公文書
1659,legacy,遺産
1660,anthropology,人類学
1661,rage,激怒
1662,sorrow,悲しみ
1663,psychiatrist,精神科医
1664,ward,行政区
1665,stall,露店
1666,flame,炎
1667,moisture,水分
1668,irony,皮肉
1669,warrior,戦士
1670,astronomy,天文学
1671,probe,宇宙探査機
1672,altitude,高度，標高
1673,tumor,腫瘍
1674,defect,欠陥
1675,sanitation,公衆衛生
1676,longevity,長寿
1677,scope,範囲
1678,sentiment,感情
1679,plausible,もっともらしい
1680,vigorous,精力的な
1681,masculine,男らしい
1682,rigid,厳しい
1683,adverse,不都合な
1684,coherent,一貫した，筋の通った
1685,literal,文字どおりの
1686,arbitrary,恣意的な
1687,anonymous,匿名の
1688,antique,骨董の，アンティークの
1689,eternal,永遠の
1690,intermediate,中級の
1691,subordinate,下位の
1692,gloomy,陰気な
1693,thermal,熱の，熱による
1694,faint,かすかな
1695,naive,お人よしの，愚直な
1696,apt,傾向がある
1697,arrogant,横柄な，傲慢な
1698,extrovert,外向的な
1699,conspicuous,目立つ
1700,intact,損なわれていない，手つかずの
1701,embody,を具現する
1702,illuminate,を照らす
1703,console,を慰める
1704,verify,の正しさを証明する
1705,disclose,を公表する，暴く
1706,stack,を積む，積み重ねる
1707,rotate,回転する
1708,constrain,に強いる
1709,hinder,を妨げる
1710,withstand,に耐える
1711,tweet,ツイートする，つぶやく
1712,sneeze,くしゃみをする
1713,erupt,噴火する
1714,blur,をぼかす
1715,overlap,重なる
1716,embed,埋め込まれる，はめ込まれる
1717,displace,に取って代わる
1718,render,をする
1719,plunge,突っ込む(into)
1720,surrender,を放棄する，引き渡す
1721,plug,のプラグを電源に差し込む
1722,suck,吸う
1723,mock,をばかにする
1724,tease,からかう
1725,soothe,をなだめる
1726,stain,を汚す
1727,shun,を避ける
1728,stumble,よろけながら歩く
1729,flush,を紅潮させる
1730,impair,を損なう
1731,presume,と思う
1732,contend,と主張する
1733,roar,うなる，ほえる
1734,haunt,につきまとう
1735,divert,をそらす
1736,await,を待つ
1737,fetch,を持ってくる
1738,unify,を統合する
1739,inspect,を点検する
1740,entail,を伴う，引き起こす
1741,tactics,作戦，方策
1742,feat,偉業，功績
1743,prestige,名声
1744,analogy,類推
1745,conscience,良心
1746,textile,織物
1747,deficit,赤字，不足
1748,plague,疫病
1749,hazard,危険
1750,metabolism,代謝，代謝作用
1751,paralysis,麻痺
1752,grid,供給網
1753,carriage,馬車
1754,friction,不和
1755,rebel,反逆者
1756,regime,政権，政体
1757,monopoly,独占
1758,staple,必需食品
1759,merchandise,商品
1760,vendor,物売り，行商人
1761,supervisor,監督者
1762,predecessor,前任者
1763,personnel,職員，社員
1764,vessel,船舶
1765,liver,肝臓
1766,duration,継続，持続
1767,certificate,証明書
1768,geometry,幾何学
1769,symmetry,対称
1770,biography,伝記
1771,masterpiece,傑作
1772,rhyme,押韻詩
1773,premium,保険料
1774,breakdown,崩壊
1775,courtesy,礼儀正しさ
1776,protocol,議定書
1777,specimen,標本
1778,thesis,論文
1779,eligible,適格の，資格のある
1780,intrinsic,固有の，本質的な
1781,diligent,勤勉な
1782,vocational,職業の，職業訓練の
1783,bankrupt,破産宣告を受けた
1784,stern,厳しい
1785,stubborn,頑固な，強情な
1786,maternal,母の，母親らしい
1787,fertile,肥沃な
1788,ripe,熟した
1789,stiff,硬直した，凝った
1790,obsolete,廃れた，使われなくなった
1791,vacant,空いている
1792,acoustic,音響の
1793,preliminary,予備の，準備の
1794,approximate,おおよその
1795,implicit,暗黙の
1796,punctual,時間を守る
1797,compatible,矛盾しない
1798,ample,十分すぎるほどの
1799,pervasive,隅々に広がった
1800,ubiquitous,至る所にある
1801,deduce,を推測する，演繹する
1802,simulate,を模擬実験する
1803,merge,合併する
1804,penetrate,浸透する
1805,cater,料理をまかなう
1806,assault,に暴行する
1807,torture,を拷問にかける
1808,bleed,出血する
1809,erect,を建てる
1810,cherish,を大切にする
1811,arouse,を引き起こす
1812,doom,運命にある
1813,mourn,悼む
1814,dread,をひどく恐れる
1815,nourish,に栄養を与える
1816,inject,に注射する，を注入する
1817,swear,ののしる
1818,bid,の値をつける
1819,corrupt,を堕落させる
1820,preoccupy,の心を奪う，を夢中にさせる
1821,browse,拾い読みする
1822,compile,を編集する
1823,allocate,を割り当てる，分配する
1824,offset,を相殺する，埋め合わせる
1825,restrain,を制止する
1826,comply,従う，応じる
1827,expire,期限が切れる
1828,embark,乗り出す
1829,flap,パタパタ動く
1830,furnish,に備えつける
1831,forge,を偽造する
1832,thrust,を押しつける
1833,dispatch,を派遣する
1834,resent,に憤慨する
1835,reconcile,を一致させる
1836,allege,を主張する
1837,oppress,を抑圧する
1838,expel,を追放する
1839,ascend,上がる
1840,commence,始まる
1841,advent,出現，到来
1842,reign,治世
1843,diplomacy,外交
1844,embassy,大使館
1845,exile,亡命
1846,refuge,避難
1847,plight,窮状
1848,solitude,ひとりでいること
1849,fallacy,誤った考え，誤信
1850,latitude,緯度
1851,eclipse,食
1852,basin,流域
1853,erosion,浸食
1854,archaeology,考古学
1855,errand,使い，使い走り
1856,mercy,慈悲
1857,rhetoric,修辞
1858,verse,韻文
1859,congestion,混雑
1860,sewage,下水
1861,complement,補完物，補足
1862,subsidy,補助金
1863,mortgage,住宅ローン
1864,attorney,弁護士
1865,outfit,衣装一式
1866,bulk,大半
1867,reunion,再会
1868,synthesis,合成
1869,mold,鋳型
1870,thirst,渇き
1871,greed,強欲
1872,bribe,賄賂
1873,contempt,軽蔑
1874,texture,感触，手触り
1875,orphan,孤児
1876,harassment,嫌がらせ，ハラスメント
1877,hay,干し草
1878,doctrine,教義
1879,holistic,全体論の
1880,liable,しがちな
1881,earnest,まじめな，熱心な
1882,intelligible,理解できる
1883,abrupt,突然の
1884,reckless,無謀な
1885,furious,激怒した
1886,eloquent,雄弁な
1887,juvenile,青少年の
1888,notorious,悪名高い
1889,timid,臆病な
1890,humid,湿気のある
1891,contagious,感染の
1892,cynical,冷笑的な，皮肉な
1893,dumb,ばかげた
1894,monotonous,単調な
1895,perpetual,永続的な
1896,dizzy,目まいがする
1897,weary,疲れ果てた
1898,numb,麻痺した，無感覚な
1899,mortal,致命的な
1900,zealous,熱心な
